EXAM_ID,PREP_TYPE,PREP_TEXT,LINK
PLACEHOLDER,learning path,Work with accounts receivable in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/paths/work-accounts-receivable-d365-finance-ops
PLACEHOLDER,learning path,"Configure and use cash and bank management, and sales tax in Dynamics 365 for Finance and Operations",https://docs.microsoft.com/en-us/learn/paths/configure-use-cash-bank-management-tax-d365-finance-ops
PLACEHOLDER,learning path,Migrate data and go live with Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/paths/migrate-data-go-live-with-dynamics-365-finance-ops
PLACEHOLDER,module,Translate speech in real time with Azure Cognitive Services,https://docs.microsoft.com/en-us/learn/modules/convert-speech-to-text
PLACEHOLDER,module,Recognize specific voices with the Speaker Recognition APIs in Azure Cognitive Services,https://docs.microsoft.com/en-us/learn/modules/recognize-voices-with-speaker-recognition
PLACEHOLDER,module,Overview of the Microsoft Cloud Operating Model,https://docs.microsoft.com/en-us/learn/modules/cloud-operating-model
PLACEHOLDER,module,Create an Azure account,https://docs.microsoft.com/en-us/learn/modules/create-an-azure-account
PLACEHOLDER,module,Classify and moderate text with Azure Content Moderator,https://docs.microsoft.com/en-us/learn/modules/classify-and-moderate-text-with-azure-content-moderator
PLACEHOLDER,module,Add conversational intelligence to your apps by using Language Understanding Intelligent Service (LUIS),https://docs.microsoft.com/en-us/learn/modules/create-and-publish-a-luis-model
PLACEHOLDER,module,Identify faces and expressions by using the Computer Vision API in Azure Cognitive Services,https://docs.microsoft.com/en-us/learn/modules/identify-faces-with-computer-vision
PLACEHOLDER,module,Core Cloud Services - Introduction to Azure,https://docs.microsoft.com/en-us/learn/modules/welcome-to-azure
PLACEHOLDER,module,Build an FAQ chatbot with QnA Maker and Azure Bot Service,https://docs.microsoft.com/en-us/learn/modules/build-a-faq-chat-bot-with-qna-maker-and-azure-bot-service
PLACEHOLDER,module,Enhance your service availability and data locality using Azure Traffic Manager,https://docs.microsoft.com/en-us/learn/modules/distribute-load-with-traffic-manager
PLACEHOLDER,module,Configure and manage the order to cash process in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-manage-order-to-cash
PLACEHOLDER,module,Secure your Azure resources with conditional access,https://docs.microsoft.com/en-us/learn/modules/secure-azure-resources-with-conditional-access
PLACEHOLDER,learning path,Configure and use budgeting in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/paths/configure-use-budgeting-d365-finance-ops
PLACEHOLDER,learning path,Configure and manage fixed assets in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/paths/configure-manage-fixed-assets-d365-finance-ops
PLACEHOLDER,module,Access Metrics from your Azure Blob Storage Containers Programmatically,https://docs.microsoft.com/en-us/learn/modules/access-blob-storage-metrics-from-code
PLACEHOLDER,module,Configure process manufacturing in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-process-manufacturing-in-dynamics-365-finance-ops
PLACEHOLDER,learning path,Use advanced data options and connectors in PowerApps,https://docs.microsoft.com/en-us/learn/paths/advanced-data-options-and-connectors
PLACEHOLDER,module,Work with relational data in a PowerApps canvas app,https://docs.microsoft.com/en-us/learn/modules/work-with-relational-data-powerapps-canvas-app
PLACEHOLDER,module,Use custom connectors in a PowerApps canvas app,https://docs.microsoft.com/en-us/learn/modules/use-custom-connectors-in-powerapps-canvas-app
PLACEHOLDER,learning path,Getting Started with Dynamics 365 for Marketing,https://docs.microsoft.com/en-us/learn/paths/get-started-with-marketing
PLACEHOLDER,module,Work with data source limits (delegation limits) in a PowerApps canvas app,https://docs.microsoft.com/en-us/learn/modules/work-with-data-source-limits-powerapps-canvas-app
PLACEHOLDER,module,Set up and manage Dynamics 365 for Marketing,https://docs.microsoft.com/en-us/learn/modules/get-started-set-up-and-manage
PLACEHOLDER,module,Connecting to other data in a PowerApps canvas app,https://docs.microsoft.com/en-us/learn/modules/connect-to-other-data-in-powerapps-canvas-app
PLACEHOLDER,module,Advanced configuration for Dynamics 365 for Marketing,https://docs.microsoft.com/en-us/learn/modules/get-started-advanced-configuration
PLACEHOLDER,learning path,Get started with Dynamics 365 Portals,https://docs.microsoft.com/en-us/learn/paths/get-started-dynamics-365-portals
PLACEHOLDER,module,Call an API from a Logic Apps workflow using a custom connector,https://docs.microsoft.com/en-us/learn/modules/logic-apps-and-custom-connectors
PLACEHOLDER,module,Scale an App Service web app to efficiently meet demand with App Service scale up and scale out,https://docs.microsoft.com/en-us/learn/modules/app-service-scale-up-scale-out
PLACEHOLDER,learning path,Administer containers in Azure,https://docs.microsoft.com/en-us/learn/paths/administer-containers-in-azure
PLACEHOLDER,module,Optimize storage performance and costs using Blob storage tiers,https://docs.microsoft.com/en-us/learn/modules/optimize-archive-costs-blob-storage
PLACEHOLDER,module,Classify images with the Microsoft Custom Vision Service,https://docs.microsoft.com/en-us/learn/modules/classify-images-with-custom-vision-service
PLACEHOLDER,module,Choose the appropriate Azure service to integrate and automate business processes,https://docs.microsoft.com/en-us/learn/modules/choose-azure-service-to-integrate-and-automate-business-processes
PLACEHOLDER,module,Dynamically meet changing web app performance requirements with autoscale rules,https://docs.microsoft.com/en-us/learn/modules/app-service-autoscale-rules
PLACEHOLDER,module,Handle transient errors in your app,https://docs.microsoft.com/en-us/learn/modules/handle-transient-errors-in-your-app
PLACEHOLDER,module,Get started with lean manufacturing in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/get-started-with-lean-manufacturing
PLACEHOLDER,module,Support concurrency in Blob storage apps with ETags and blob leases,https://docs.microsoft.com/en-us/learn/modules/support-concurrency-blob-storage
PLACEHOLDER,module,Modern Communications in Microsoft Teams,https://docs.microsoft.com/en-us/learn/wwl-mba/modern-communications-in-microsoft-teams
PLACEHOLDER,module,Configure and use master planning in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-use-master-planning-in-dynamics-365-finance-ops
PLACEHOLDER,module,Perform user acceptance testing (UAT) in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/perform-uat-in-dynamics-365-finance-ops
PLACEHOLDER,module,Configure discrete manufacturing in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-discrete-manufacturing-in-dynamics-365-finance-ops
PLACEHOLDER,module,Build a containerized web application with Docker,https://docs.microsoft.com/en-us/learn/modules/intro-to-containers
PLACEHOLDER,module,Security with Microsoft 365,https://docs.microsoft.com/en-us/learn/wwl-mba/security-with-microsoft-365
PLACEHOLDER,module,Introducing Microsoft 365 and Surface for Business,https://docs.microsoft.com/en-us/learn/wwl-mba/introducing-microsoft-365-and-surface-for-business
PLACEHOLDER,module,Deploy and manage Windows 10 and Office 365 ProPlus,https://docs.microsoft.com/en-us/learn/wwl-mba/deploy-and-manage-windows-10-and-office-365-proplus
PLACEHOLDER,module,Welcome to Microsoft 365,https://docs.microsoft.com/en-us/learn/wwl-mba/welcome-to-microsoft-365
PLACEHOLDER,module,Compliance with Microsoft 365,https://docs.microsoft.com/en-us/learn/wwl-mba/compliance-with-microsoft-365
PLACEHOLDER,module,Get more from Microsoft 365 with Surface for Business,https://docs.microsoft.com/en-us/learn/wwl-mba/get-more-from-microsoft-365-with-surface-for-business
PLACEHOLDER,module,Get started with Microsoft 365 using FastTrack,https://docs.microsoft.com/en-us/learn/wwl-mba/get-started-with-microsoft-365-using-fasttrack
PLACEHOLDER,module,Facilitate Teamwork with Microsoft 365,https://docs.microsoft.com/en-us/learn/wwl-mba/facilitate-teamwork-with-microsoft-365
PLACEHOLDER,learning path,Modernize your workplace with Microsoft 365 and Surface for Business,https://docs.microsoft.com/en-us/learn/paths/modernize-workplace-with-m365-and-surface
PLACEHOLDER,module,Develop web applications with Visual Studio Code,https://docs.microsoft.com/en-us/learn/modules/develop-web-apps-with-vs-code
PLACEHOLDER,module,"Build a simple website using HTML, CSS, and Javascript",https://docs.microsoft.com/en-us/learn/modules/build-simple-website
PLACEHOLDER,module,Create and process fixed Kanbans in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/create-process-fixed-kanbans
PLACEHOLDER,module,Create and process event Kanban rules in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/create-process-event-kanban-rules
PLACEHOLDER,module,Identify and configure batch attributes for process manufacturing in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/identify-configure-batch-attributes-for-process-manufacturing
PLACEHOLDER,module,Distribute your services across Azure virtual networks and integrate them by using virtual network peering,https://docs.microsoft.com/en-us/learn/modules/integrate-vnets-with-vnet-peering
PLACEHOLDER,module,Process purchase orders in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/process-purchase-orders-finance
PLACEHOLDER,module,Work with manufacturing execution in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/work-with-manufacturing-execution
PLACEHOLDER,module,Configure lean manufacturing in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-lean-manufacturing
PLACEHOLDER,module,Configure and use budget planning in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-use-budget-planning
PLACEHOLDER,module,Configure and use intercompany trade in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-use-intercompany-trade
PLACEHOLDER,module,Get started with product configuration in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/get-started-product-configuration
PLACEHOLDER,module,Create and process scheduled Kanbans in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/create-process-scheduled-kanbans
PLACEHOLDER,module,Work with warehouse management in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/work-with-warehouse-management
PLACEHOLDER,module,Configure and perform the procure-to-purchase process in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-perform-procure-to-purchase-in-dynamics-365-finance-ops
PLACEHOLDER,module,Work with capacity planning and scheduling in discrete manufacturing in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/work-with-capacity-planning-scheduling-discrete-in-dynamics-365-finance-ops
PLACEHOLDER,module,Configure financial management for public sector in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-public-sector-in-dynamics-365-finance-ops
PLACEHOLDER,module,Introduction to Unified Operations Products - Dynamics 365 fundamentals,https://docs.microsoft.com/en-us/learn/modules/intro-unified-operations-fundamentals
PLACEHOLDER,module,Perform accounts receivable daily procedures in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/accounts-receivable-daily-procedures-in-dynamics-365-finance-ops
PLACEHOLDER,module,Introduction to Customer Engagement Products - Dynamics 365 Fundamentals,https://docs.microsoft.com/en-us/learn/modules/intro-to-apps-ce-fundamentals
PLACEHOLDER,module,How to build the UI in a canvas app in PowerApps,https://docs.microsoft.com/en-us/learn/modules/how-to-build-ui-canvas-app
PLACEHOLDER,module,Introduction to the Power Platform - Dynamics 365 Fundamentals,https://docs.microsoft.com/en-us/learn/modules/power-plat-app-basic-fundamentals
PLACEHOLDER,module,Use and understand Controls in a canvas app in PowerApps,https://docs.microsoft.com/en-us/learn/modules/controls-canvas-apps
PLACEHOLDER,learning path,Dynamics 365 and Power Platform Fundamentals,https://docs.microsoft.com/en-us/learn/paths/dyn-power-plat-bus-app-fundamentals
PLACEHOLDER,module,"Explore licensing, onboarding, and support Options - Dynamics 365 fundamentals",https://docs.microsoft.com/en-us/learn/modules/license-support-fundamentals
PLACEHOLDER,module,Managing Deployments and Releases - Dynamics 365 Fundamentals,https://docs.microsoft.com/en-us/learn/modules/manage-deploy-release-fundamentals
PLACEHOLDER,learning path,Use the UI and controls in a canvas app in PowerApps,https://docs.microsoft.com/en-us/learn/paths/ui-controls-canvas-app-powerapps
PLACEHOLDER,module,Configure and use basic budgeting and budget control in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-use-basic-budgeting-budget-control-in-dynamics-365-finance-ops
PLACEHOLDER,module,Manage fixed assets in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/manage-fixed-assets-in-dynamics-365-finance-ops
PLACEHOLDER,module,Navigation in a canvas app in PowerApps,https://docs.microsoft.com/en-us/learn/modules/navigation-canvas-app
PLACEHOLDER,module,Deploy and run a containerized web app with Azure App Service,https://docs.microsoft.com/en-us/learn/modules/deploy-run-container-app-service
PLACEHOLDER,module,Configure accounts receivable in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-accounts-receivable-in-dynamics-365-finance-ops
PLACEHOLDER,module,Stage a web app deployment for testing and rollback by using App Service deployment slots,https://docs.microsoft.com/en-us/learn/modules/stage-deploy-app-service-deployment-slots
PLACEHOLDER,module,Get started with discrete manufacturing in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/get-started-discrete-manufacturing-in-dynamics-365-finance-ops
PLACEHOLDER,module,Gather metrics from your Azure Blob Storage containers,https://docs.microsoft.com/en-us/learn/modules/gather-metrics-blob-storage
PLACEHOLDER,module,Configure and use agreements in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-use-agreements-in-dynamics-365-finance-ops
PLACEHOLDER,module,Create products and product masters in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/create-products-product-masters-in-dynamics-365-finance-ops
PLACEHOLDER,module,Configure fixed assets management in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-fixed-assets-mgmt-in-dynamics-365-finance-ops
PLACEHOLDER,learning path,Configure and use the General ledger in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/paths/configure-use-general-ledger-dynamics-365-finance-ops
PLACEHOLDER,module,Configure and work with transportation management in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-work-with-transportation-management-in-dynamics-365-finance-ops
PLACEHOLDER,module,Capture Web Application Logs with App Service Diagnostics Logging,https://docs.microsoft.com/en-us/learn/modules/capture-application-logs-app-service
PLACEHOLDER,module,Achieve business transformation with Microsoft Catalyst,https://docs.microsoft.com/en-us/learn/modules/achieve-business-transformation-with-microsoft-catalyst
PLACEHOLDER,module,Process credit and collections in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/process-credit-collections-in-dynamics-365-finance-ops
PLACEHOLDER,learning path,Use basic formulas to make better PowerApps canvas apps,https://docs.microsoft.com/en-us/learn/paths/use-basic-formulas-powerapps-canvas-app
PLACEHOLDER,module,Configure warehouse management in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-warehouse-management-in-dynamics-365-finance-ops
PLACEHOLDER,module,Configure and manage vendor collaboration in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-manage-vendor-collaboration-in-dynamics-365-finance-ops
PLACEHOLDER,module,Author a basic formula to change behaviors in a PowerApps canvas app,https://docs.microsoft.com/en-us/learn/modules/author-basic-formula-change-behaviors-powerapps
PLACEHOLDER,module,Author a basic formula to change properties in a PowerApps canvas app,https://docs.microsoft.com/en-us/learn/modules/author-basic-formula-change-properties-powerapps
